title,domestic_revenue,distributor,opening_theaters,MPAA,release_days,action,animation,comedy,drama,horror,thriller
The Avengers,3.812311609131124,4,2.403120521175818,4,1.2041199826559248,0,1,0,0,0,0
Titanic,6.973660830807765,0,2.0863598306747484,0,2.012837224705172,1,0,0,0,0,0
Jurassic Park,5.922257184573975,2,3.582744965691277,1,1.9493900066449128,0,0,0,0,1,0
Avatar,5.637186418026207,0,3.587486465410964,0,1.9294189257142926,0,0,0,0,1,0
The Lion King,6.4458608126094745,4,3.4674601095072637,4,2.1986570869544226,0,0,1,0,0,0
Star Wars,6.57491389891337,3,3.084933574936716,4,2.187520720836463,0,0,1,0,0,0
Frozen,5.869451159061426,2,3.650501794878367,1,1.6720978579357175,1,0,0,0,0,0
Inception,6.721050223015335,1,3.5499836111596887,3,1.6434526764861874,0,0,0,1,0,0
The Dark Knight,6.88516568695492,4,3.258397804095509,4,0.9542425094393249,1,0,0,0,0,0
Harry Potter,4.959756672990995,3,3.162564406523019,2,2.1818435879447726,0,0,0,0,1,0
Toy Story,6.259653596243472,1,3.059941888061955,3,1.8260748027008264,0,0,0,0,1,0
Finding Nemo,5.3914767545844295,4,2.303196057420489,2,2.060697840353612,0,0,1,0,0,0
Black Panther,5.2031199548742455,2,3.0759117614827773,4,0.3010299956639812,1,0,0,0,0,0
The Godfather,6.777219413568533,4,3.3925210899319325,1,1.6127838567197355,0,1,0,0,0,0
Spider-Man,4.795295932967716,4,3.449478399187365,2,0.9542425094393249,0,0,0,0,1,0
Shrek,6.231899084851086,1,3.0965624383741357,1,1.380211241711606,0,0,1,0,0,0
Iron Man,5.956903322566684,4,2.7634279935629373,0,0.7781512503836436,0,0,0,1,0,0
Captain America,6.878766046173318,2,3.2397998184470986,2,2.089905111439398,0,1,0,0,0,0
Batman Begins,6.511523616192956,4,3.4933186082321015,3,1.0791812460476249,0,0,0,1,0,0
Wonder Woman,6.2286056503550915,4,3.31722734917642,3,2.0644579892269186,0,0,0,1,0,0
